排名,球队,场次,胜场,平局,负场,进球,失球,净胜球,胜率,积分,阶段
1,利物浦,16,10,5,1,40,19,21,63%,35,常规赛
2,阿森纳,16,7,7,2,26,14,12,44%,28,常规赛
3,纽卡斯尔,16,8,3,5,26,21,5,50%,27,常规赛
4,诺丁汉,16,8,2,6,27,27,0,50%,26,常规赛
5,伯恩茅斯,16,6,6,4,32,26,6,38%,24,常规赛
6,水晶宫,15,6,5,4,22,17,5,40%,23,常规赛
7,布赖顿,16,6,5,5,28,28,0,38%,23,常规赛
8,维拉,16,7,2,7,22,27,-5,44%,23,常规赛
9,切尔西,16,6,4,6,26,22,4,38%,22,常规赛
10,曼城,16,6,4,6,25,21,4,38%,22,常规赛
11,富勒姆,15,6,4,5,22,19,3,40%,22,常规赛
12,布伦特,16,5,3,8,22,21,1,31%,18,常规赛
13,埃弗顿,16,4,6,6,12,19,-7,25%,18,常规赛
14,狼队,16,5,3,8,24,32,-8,31%,18,常规赛
15,曼联,16,4,5,7,17,20,-3,25%,17,常规赛
16,西汉姆联,16,4,5,7,16,24,-8,25%,17,常规赛
17,热刺,16,5,1,10,27,22,5,31%,16,常规赛
18,伊普斯,16,3,5,8,20,31,-11,19%,14,常规赛
19,莱切斯特,16,2,3,11,16,39,-23,13%,9,常规赛
20,南安普敦,16,1,2,13,12,34,-22,6%,5,常规赛
